2021-02-18 09:12:50 |INFO  |XNIO-1 task-2 |PublicController.java:51 |com.river.system.controller.PublicController |加载个人主页菜单开始
2021-02-18 09:12:50 |INFO  |XNIO-1 task-2 |PublicController.java:82 |com.river.system.controller.PublicController |加载个人主页菜单结束
2021-02-18 09:12:50 |INFO  |XNIO-1 task-2 |PublicController.java:51 |com.river.system.controller.PublicController |加载个人主页菜单开始
2021-02-18 09:12:52 |INFO  |XNIO-1 task-2 |PublicController.java:51 |com.river.system.controller.PublicController |加载个人主页菜单开始
2021-02-18 09:12:52 |INFO  |XNIO-1 task-2 |IndexController.java:59 |com.river.site.controller.publics.IndexController |加载首页数据开始
2021-02-18 09:12:52 |INFO  |XNIO-1 task-2 |IndexController.java:105 |com.river.site.controller.publics.IndexController |加载首页数据结束
2021-02-18 09:24:58 |INFO  |XNIO-1 task-2 |PublicController.java:51 |com.river.system.controller.PublicController |加载个人主页菜单开始
2021-02-18 09:57:54 |INFO  |XNIO-1 task-2 |PublicController.java:51 |com.river.system.controller.PublicController |加载个人主页菜单开始
2021-02-18 09:57:54 |INFO  |XNIO-1 task-2 |PublicController.java:51 |com.river.system.controller.PublicController |加载个人主页菜单开始
2021-02-18 09:57:56 |INFO  |XNIO-1 task-2 |PublicController.java:51 |com.river.system.controller.PublicController |加载个人主页菜单开始
2021-02-18 10:16:16 |INFO  |XNIO-1 task-2 |PublicController.java:51 |com.river.system.controller.PublicController |加载个人主页菜单开始
2021-02-18 15:02:26 |INFO  |XNIO-1 task-2 |PublicController.java:51 |com.river.system.controller.PublicController |加载个人主页菜单开始
2021-02-18 15:02:26 |INFO  |XNIO-1 task-2 |PublicController.java:82 |com.river.system.controller.PublicController |加载个人主页菜单结束
2021-02-18 15:02:37 |INFO  |XNIO-1 task-2 |LoginSysUserServiceImpl.java:46 |com.river.system.service.impl.LoginSysUserServiceImpl |获取用户登录信息,loginId=river
2021-02-18 15:02:38 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-18 15:02:38 |INFO  |XNIO-1 task-2 |JdbcTokenStore.java:168 |org.springframework.security.oauth2.provider.token.store.JdbcTokenStore |Failed to find access token for token 9ce53f6a-dbb3-4316-889d-8d22a76145e8
2021-02-18 15:02:39 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-18 15:02:39 |INFO  |XNIO-1 task-2 |SysMenuController.java:62 |com.river.system.controller.SysMenuController |获取用户菜单开始，userName=river
2021-02-18 15:02:45 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-18 15:02:45 |INFO  |XNIO-1 task-2 |NotebookCategoryController.java:46 |com.river.site.controller.NotebookCategoryController |查询笔记分类列表开始
