2021-02-27 07:47:53 |INFO  |main |StartupInfoLogger.java:55 |com.river.site.SiteApplication |Starting SiteApplication on DESKTOP-AFTLI5O with PID 1012 (D:\river-boot\rivert-site.jar_release\rivert-site-api.jar started by DESKTOP-AFTLI5O$ in D:\river-boot\rivert-site.jar_release)
2021-02-27 07:47:53 |INFO  |main |SpringApplication.java:655 |com.river.site.SiteApplication |The following profiles are active: dev
2021-02-27 08:54:18 |INFO  |main |AutoProxyRegistrar.java:83 |org.springframework.context.annotation.AutoProxyRegistrar |AutoProxyRegistrar was imported but no annotations were found having both 'mode' and 'proxyTargetClass' attributes of type AdviceMode and boolean respectively. This means that auto proxy creator registration and configuration may not have occurred as intended, and components may not be proxied as expected. Check to ensure that AutoProxyRegistrar has been @Import'ed on the same class where these annotations are declared; otherwise remove the import of AutoProxyRegistrar altogether.
2021-02-27 08:55:13 |INFO  |main |RepositoryConfigurationDelegate.java:249 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Multiple Spring Data modules found, entering strict repository configuration mode!
2021-02-27 08:55:14 |INFO  |main |RepositoryConfigurationDelegate.java:127 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-02-27 08:55:20 |INFO  |main |RepositoryConfigurationDelegate.java:187 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Finished Spring Data repository scanning in 2163ms. Found 0 Redis repository interfaces.
2021-02-27 08:56:52 |INFO  |main |PostProcessorRegistrationDelegate.java:335 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@63eef88a' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-02-27 08:56:53 |INFO  |main |PostProcessorRegistrationDelegate.java:335 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-02-27 08:57:35 |INFO  |main |ServletContextImpl.java:364 |io.undertow.servlet |Initializing Spring embedded WebApplicationContext
2021-02-27 08:57:35 |INFO  |main |ServletWebServerApplicationContext.java:285 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 4173815 ms
2021-02-27 08:59:38 |INFO  |main |QuartzInitializerListener.java:147 |org.quartz.ee.servlet.QuartzInitializerListener |Quartz Initializer Servlet loaded, initializing Scheduler...
2021-02-27 08:59:39 |INFO  |main |StdSchedulerFactory.java:1172 |org.quartz.impl.StdSchedulerFactory |Using default implementation for ThreadExecutor
2021-02-27 08:59:39 |INFO  |main |SimpleThreadPool.java:268 |org.quartz.simpl.SimpleThreadPool |Job execution threads will use class loader of thread: main
2021-02-27 08:59:40 |INFO  |main |SchedulerSignalerImpl.java:61 |org.quartz.core.SchedulerSignalerImpl |Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2021-02-27 08:59:40 |INFO  |main |QuartzScheduler.java:240 |org.quartz.core.QuartzScheduler |Quartz Scheduler v.2.2.3 created.
2021-02-27 08:59:40 |INFO  |main |RAMJobStore.java:155 |org.quartz.simpl.RAMJobStore |RAMJobStore initialized.
2021-02-27 08:59:40 |INFO  |main |QuartzScheduler.java:305 |org.quartz.core.QuartzScheduler |Scheduler meta-data: Quartz Scheduler (v2.2.3) 'DefaultQuartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

2021-02-27 08:59:40 |INFO  |main |StdSchedulerFactory.java:1327 |org.quartz.impl.StdSchedulerFactory |Quartz scheduler 'DefaultQuartzScheduler' initialized from default resource file in Quartz package: 'quartz.properties'
2021-02-27 08:59:40 |INFO  |main |StdSchedulerFactory.java:1331 |org.quartz.impl.StdSchedulerFactory |Quartz scheduler version: 2.2.3
2021-02-27 08:59:40 |INFO  |main |QuartzScheduler.java:575 |org.quartz.core.QuartzScheduler |Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED started.
2021-02-27 08:59:40 |INFO  |main |QuartzInitializerListener.java:199 |org.quartz.ee.servlet.QuartzInitializerListener |Scheduler has been started...
2021-02-27 08:59:40 |INFO  |main |QuartzInitializerListener.java:217 |org.quartz.ee.servlet.QuartzInitializerListener |Storing the Quartz Scheduler Factory in the servlet context at key: org.quartz.impl.StdSchedulerFactory.KEY
2021-02-27 09:00:04 |INFO  |main |TestController.java:35 |com.river.site.controller.publics.TestController |线程池初始化
2021-02-27 09:00:04 |INFO  |main |TestController.java:56 |com.river.site.controller.publics.TestController |线程池初始化完了
2021-02-27 09:00:10 |INFO  |main |StdSchedulerFactory.java:1172 |org.quartz.impl.StdSchedulerFactory |Using default implementation for ThreadExecutor
