2021-03-03 09:08:18 |INFO  |XNIO-1 task-1 |PublicNotebookController.java:51 |com.river.site.controller.publics.PublicNotebookController |获取笔记分类树
2021-03-03 09:08:18 |INFO  |XNIO-1 task-4 |PublicNotebookController.java:74 |com.river.site.controller.publics.PublicNotebookController |查询笔记列表开始
2021-03-03 09:08:25 |INFO  |XNIO-1 task-4 |PublicNotebookController.java:74 |com.river.site.controller.publics.PublicNotebookController |查询笔记列表开始
2021-03-03 09:08:27 |INFO  |XNIO-1 task-4 |PublicNotebookController.java:74 |com.river.site.controller.publics.PublicNotebookController |查询笔记列表开始
2021-03-03 09:23:16 |INFO  |XNIO-1 task-4 |IndexController.java:59 |com.river.site.controller.publics.IndexController |加载首页数据开始
2021-03-03 09:23:16 |INFO  |XNIO-1 task-4 |IndexController.java:105 |com.river.site.controller.publics.IndexController |加载首页数据结束
2021-03-03 09:23:41 |INFO  |XNIO-1 task-4 |PublicSiteConnentController.java:46 |com.river.site.controller.publics.PublicSiteConnentController |查询站点内容列表开始
2021-03-03 09:23:44 |INFO  |XNIO-1 task-4 |PublicNotebookController.java:74 |com.river.site.controller.publics.PublicNotebookController |查询笔记列表开始
2021-03-03 09:23:44 |INFO  |XNIO-1 task-4 |PublicNotebookController.java:51 |com.river.site.controller.publics.PublicNotebookController |获取笔记分类树
2021-03-03 09:23:56 |INFO  |XNIO-1 task-4 |PublicSiteConnentController.java:46 |com.river.site.controller.publics.PublicSiteConnentController |查询站点内容列表开始
2021-03-03 09:24:21 |INFO  |XNIO-1 task-4 |PublicNotebookController.java:51 |com.river.site.controller.publics.PublicNotebookController |获取笔记分类树
2021-03-03 09:24:21 |INFO  |XNIO-1 task-1 |PublicNotebookController.java:74 |com.river.site.controller.publics.PublicNotebookController |查询笔记列表开始
2021-03-03 09:24:24 |INFO  |XNIO-1 task-1 |PublicSiteConnentController.java:46 |com.river.site.controller.publics.PublicSiteConnentController |查询站点内容列表开始
2021-03-03 09:24:27 |INFO  |XNIO-1 task-4 |CheckTokenEndpoint.java:92 |org.springframework.security.oauth2.provider.endpoint.CheckTokenEndpoint |Handling error: InvalidTokenException, Token has expired
2021-03-03 09:24:27 |INFO  |XNIO-1 task-1 |RiverAuthenticationFailureEvenHandler.java:34 |com.river.security.handler.RiverAuthenticationFailureEvenHandler |用户：access-token 登录失败，异常：4884ed62-1e9a-4d16-9592-3fe5cca4a710
2021-03-03 09:24:28 |INFO  |XNIO-1 task-1 |PublicController.java:51 |com.river.system.controller.PublicController |加载个人主页菜单开始
2021-03-03 09:24:28 |INFO  |XNIO-1 task-1 |PublicController.java:82 |com.river.system.controller.PublicController |加载个人主页菜单结束
2021-03-03 09:24:34 |INFO  |XNIO-1 task-1 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:24:34 |INFO  |XNIO-1 task-1 |JdbcTokenStore.java:168 |org.springframework.security.oauth2.provider.token.store.JdbcTokenStore |Failed to find access token for token 5a9f6e51-6f43-4a42-b1d8-36dc022c7841
2021-03-03 09:24:35 |INFO  |XNIO-1 task-1 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:24:35 |INFO  |XNIO-1 task-1 |SysMenuController.java:62 |com.river.system.controller.SysMenuController |获取用户菜单开始，userName=river
2021-03-03 09:24:38 |INFO  |XNIO-1 task-4 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:24:38 |INFO  |XNIO-1 task-1 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:24:38 |INFO  |XNIO-1 task-4 |SysItemController.java:65 |com.river.system.controller.SysItemController |查询字典开始
2021-03-03 09:24:38 |INFO  |XNIO-1 task-1 |SysUserController.java:102 |com.river.system.controller.SysUserController |查询用户列表开始
2021-03-03 09:24:41 |INFO  |XNIO-1 task-1 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:24:41 |INFO  |XNIO-1 task-1 |SysItemController.java:65 |com.river.system.controller.SysItemController |查询字典开始
2021-03-03 09:24:41 |INFO  |XNIO-1 task-4 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:24:41 |INFO  |XNIO-1 task-4 |SysUserController.java:102 |com.river.system.controller.SysUserController |查询用户列表开始
2021-03-03 09:24:56 |INFO  |XNIO-1 task-4 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:24:56 |INFO  |XNIO-1 task-4 |QuartzJobDetailController.java:41 |com.river.site.controller.QuartzJobDetailController |查询job树开始
2021-03-03 09:24:59 |INFO  |XNIO-1 task-4 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:24:59 |INFO  |XNIO-1 task-4 |SysItemController.java:65 |com.river.system.controller.SysItemController |查询字典开始
