2021-02-22 17:31:57 |WARN  |lettuce-nioEventLoop-4-2 |AbstractInternalLogger.java:151 |io.lettuce.core.protocol.ConnectionWatchdog |Cannot reconnect to [127.0.0.1:6379]: Connection refused: no further information: /127.0.0.1:6379
2021-02-22 17:32:04 |WARN  |lettuce-nioEventLoop-4-1 |AbstractInternalLogger.java:151 |io.lettuce.core.protocol.ConnectionWatchdog |Cannot reconnect to [127.0.0.1:6379]: Connection refused: no further information: /127.0.0.1:6379
2021-02-22 17:32:10 |WARN  |lettuce-nioEventLoop-4-4 |AbstractInternalLogger.java:151 |io.lettuce.core.protocol.ConnectionWatchdog |Cannot reconnect to [127.0.0.1:6379]: Connection refused: no further information: /127.0.0.1:6379
2021-02-22 17:32:17 |WARN  |lettuce-nioEventLoop-4-3 |AbstractInternalLogger.java:151 |io.lettuce.core.protocol.ConnectionWatchdog |Cannot reconnect to [127.0.0.1:6379]: Connection refused: no further information: /127.0.0.1:6379
2021-02-22 17:32:24 |WARN  |lettuce-nioEventLoop-4-1 |AbstractInternalLogger.java:151 |io.lettuce.core.protocol.ConnectionWatchdog |Cannot reconnect to [127.0.0.1:6379]: Connection refused: no further information: /127.0.0.1:6379
2021-02-22 17:32:31 |WARN  |lettuce-nioEventLoop-4-2 |AbstractInternalLogger.java:151 |io.lettuce.core.protocol.ConnectionWatchdog |Cannot reconnect to [127.0.0.1:6379]: Connection refused: no further information: /127.0.0.1:6379
2021-02-22 17:32:41 |WARN  |lettuce-nioEventLoop-4-3 |AbstractInternalLogger.java:151 |io.lettuce.core.protocol.ConnectionWatchdog |Cannot reconnect to [127.0.0.1:6379]: Connection refused: no further information: /127.0.0.1:6379
2021-02-22 17:32:59 |WARN  |lettuce-nioEventLoop-4-4 |AbstractInternalLogger.java:151 |io.lettuce.core.protocol.ConnectionWatchdog |Cannot reconnect to [127.0.0.1:6379]: Connection refused: no further information: /127.0.0.1:6379
2021-02-22 17:33:31 |WARN  |lettuce-nioEventLoop-4-1 |AbstractInternalLogger.java:151 |io.lettuce.core.protocol.ConnectionWatchdog |Cannot reconnect to [127.0.0.1:6379]: Connection refused: no further information: /127.0.0.1:6379
2021-02-22 17:34:03 |WARN  |lettuce-nioEventLoop-4-2 |AbstractInternalLogger.java:151 |io.lettuce.core.protocol.ConnectionWatchdog |Cannot reconnect to [127.0.0.1:6379]: Connection refused: no further information: /127.0.0.1:6379
2021-02-22 17:34:35 |WARN  |lettuce-nioEventLoop-4-3 |AbstractInternalLogger.java:151 |io.lettuce.core.protocol.ConnectionWatchdog |Cannot reconnect to [127.0.0.1:6379]: Connection refused: no further information: /127.0.0.1:6379
